0: d0, <-2($73), ->1($17)
13868: d771, <-11266($84), ->11265($7)
13869: d91, <-1602($42), ->1601($41)
13870: d91, <-23638($50), ->23637($27)
13871: d506, <-19984($75), ->19983($85)
13872: d506, <-4924($71), ->4923($59)
13873: d53, <-24566($96), ->24565($38)
13874: d53, <-24936($5), ->24935($56)
13875: d536, <-20254($56), ->20253($16)
13876: d536, <-9038($3), ->9037($46)
13877: d784, <-19212($22), ->19211($78)
13878: d784, <-3190($37), ->3189($16)
13879: d176, <-2684($97), ->2683($86)
13880: d176, <-12486($59), ->12485($29)
13881: d267, <-22698($23), ->22697($4)
13882: d267, <-7928($36), ->7927($59)
13883: d70, <-13274($74), ->13273($23)
13884: d70, <-16078($9), ->16077($19)
13885: d264, <-21362($14), ->21361($38)
13886: d264, <-4212($29), ->4211($87)
13887: d244, <-18222($6), ->18221($78)
13888: d244, <-466($30), ->465($26)
13889: d247, <-13702($82), ->13701($17)
13890: d247, <-24596($4), ->24595($28)
13891: d446, <-7352($26), ->7351($53)
13892: d446, <-22288($65), ->22287($44)
13893: d604, <-2792($68), ->2791($90)
13894: d604, <-10684($81), ->10683($43)
13895: d136, <-11276($14), ->11275($7)
13896: d136, <-11144($96), ->11143($15)
13897: d309, <-11664($48), ->11663($76)
13898: d309, <-23620($23), ->23619($11)
13899: d101, <-15662($76), ->15661($46)
13900: d101, <-7596($60), ->7595($45)
13901: d738, <-22764($56), ->22763($9)
13902: d738, <-11006($22), ->11005($52)
13903: d759, <-7800($99), ->7799($28)
13904: d759, <-3664($9), ->3663($35)
13905: d657, <-25064($13), ->25063($73)
13906: d657, <-10614($75), ->10613($83)
13907: d471, <-830($49), ->829($71)
13908: d471, <-12772($59), ->12771($47)
13909: d171, <-7094($101), ->7093($48)
13910: d171, <-6292($100), ->6291($55)
13911: d295, <-25204($38), ->25203($14)
13912: d295, <-708($64), ->707($72)
13913: d371, <-24420($1), ->24419($6)
13914: d371, <-10558($34), ->10557($58)
13915: d199, <-1720($70), ->1719($9)
13916: d199, <-11752($42), ->11751($45)
13917: d714, <-2692($8), ->2691($89)
13918: d714, <-536($73), ->535($70)
13919: d753, <-25200($77), ->25199($56)
13920: d753, <-20652($2), ->20651($73)
13921: d343, <-18426($57), ->18425($12)
13922: d343, <-1566($50), ->1565($52)
13923: d337, <-23108($75), ->23107($96)
13924: d337, <-596($100), ->595($49)
13925: d217, <-13864($98), ->13863($75)
13926: d217, <-8814($56), ->8813($69)
13927: d659, <-24638($78), ->24637($81)
13928: d659, <-16048($78), ->16047($98)
13929: d768, <-18586($6), ->18585($63)
13930: d768, <-24756($50), ->24755($28)
13931: d286, <-9416($17), ->9415($15)
13932: d286, <-2522($68), ->2521($20)
13933: d340, <-2454($25), ->2453($59)
13934: d340, <-1514($20), ->1513($43)
13935: d518, <-17340($84), ->17339($25)
13936: d518, <-24378($83), ->24377($11)
13937: d517, <-21646($89), ->21645($67)
13938: d517, <-20908($40), ->20907($86)
13939: d595, <-1212($3), ->1211($31)
13940: d595, <-11784($11), ->11783($1)
13941: d198, <-5294($68), ->5293($9)
13942: d198, <-3782($27), ->3781($20)
13943: d484, <-11940($50), ->11939($2)
13944: d484, <-6338($27), ->6337($47)
13945: d109, <-19748($20), ->19747($83)
13946: d109, <-19118($36), ->19117($50)
13947: d635, <-9960($34), ->9959($16)
13948: d635, <-10004($95), ->10003($45)
13949: d684, <-16792($86), ->16791($34)
13950: d684, <-5080($39), ->5079($60)
13951: d416, <-16090($4), ->16089($37)
13952: d416, <-19606($9), ->19605($22)
13953: d758, <-18460($67), ->18459($13)
13954: d758, <-13904($101), ->13903($36)
13955: d124, <-15604($31), ->15603($67)
13956: d124, <-16546($61), ->16545($37)
13957: d485, <-13670($93), ->13669($88)
13958: d485, <-3346($68), ->3345($75)
13959: d30, <-18126($75), ->18125($99)
13960: d30, <-354($12), ->353($87)
13961: d733, <-2520($71), ->2519($90)
13962: d733, <-12622($69), ->12621($93)
13963: d677, <-5398($10), ->5397($87)
13964: d677, <-310($90), ->309($27)
13965: d747, <-6122($51), ->6121($32)
13966: d747, <-7426($85), ->7425($23)
13967: d569, <-22842($14), ->22841($87)
13968: d569, <-4682($7), ->4681($90)
13969: d480, <-4008($13), ->4007($48)
13970: d480, <-20226($8), ->20225($57)
13971: d709, <-12254($26), ->12253($90)
13972: d709, <-15250($6), ->15249($98)
13973: d9, <-9644($93), ->9643($2)
13974: d9, <-6700($40), ->6699($93)
13975: d636, <-25266($18), ->25265($88)
13976: d636, <-10532($59), ->10531($72)
13977: d368, <-9284($77), ->9283($24)
13978: d368, <-12044($49), ->12043($29)
13979: d543, <-13704($88), ->13703($4)
13980: d543, <-19108($2), ->19107($56)
13981: d295, <-21142($50), ->21141($75)
13982: d295, <-25214($27), ->25213($97)
13983: d298, <-4694($34), ->4693($10)
13984: d298, <-21872($12), ->21871($56)
13985: d593, <-2916($78), ->2915($49)
13986: d593, <-15912($89), ->15911($94)
13987: d423, <-24166($6), ->24165($62)
13988: d423, <-18074($70), ->18073($29)
13989: d222, <-20602($63), ->20601($2)
13990: d222, <-22002($21), ->22001($76)
13991: d412, <-15206($30), ->15205($84)
13992: d412, <-22052($33), ->22051($78)
13993: d480, <-20226($8), ->20225($57)
13994: d480, <-20046($38), ->20045($75)
13995: d102, <-9908($2), ->9907($74)
13996: d102, <-17322($49), ->17321($20)
13997: d52, <-25240($36), ->25239($43)
13998: d52, <-1248($60), ->1247($98)
13999: d223, <-23414($75), ->23413($18)
14000: d223, <-6398($66), ->6397($4)
14001: d225, <-3054($78), ->3053($62)
14002: d225, <-18616($66), ->18615($81)
14003: d311, <-11968($5), ->11967($64)
14004: d311, <-17044($52), ->17043($35)
14005: d153, <-4334($31), ->4333($1)
14006: d153, <-9750($88), ->9749($90)
14007: d454, <-21828($76), ->21827($30)
14008: d454, <-23590($63), ->23589($16)
14009: d694, <-2980($58), ->2979($22)
14010: d694, <-2644($3), ->2643($91)
14011: d776, <-6284($42), ->6283($57)
14012: d776, <-10928($29), ->10927($73)
14013: d734, <-17124($55), ->17123($71)
14014: d734, <-9182($13), ->9181($21)
14015: d715, <-4510($39), ->4509($10)
14016: d715, <-5630($41), ->5629($37)
14017: d302, <-2134($42), ->2133($57)
14018: d302, <-11464($28), ->11463($93)
14019: d275, <-22928($95), ->22927($65)
14020: d275, <-21650($37), ->21649($67)
14021: d352, <-9912($55), ->9911($61)
14022: d352, <-20644($40), ->20643($33)
14023: d22, <-7052($48), ->7051($84)
14024: d22, <-8392($44), ->8391($100)
14025: d383, <-4080($79), ->4079($86)
14026: d383, <-11324($25), ->11323($57)
14027: d728, <-6858($46), ->6857($77)
14028: d728, <-9350($53), ->9349($52)
14029: d719, <-22550($84), ->22549($66)
14030: d719, <-16286($74), ->16285($79)
14031: d167, <-870($2), ->869($87)
14032: d167, <-25354($68), ->25353($37)
14033: d122, <-8326($66), ->8325($18)
14034: d122, <-6816($6), ->6815($25)
14035: d141, <-10396($44), ->10395($86)
14036: d141, <-7778($68), ->7777($92)
14037: d727, <-11980($100), ->11979($53)
14038: d727, <-4312($95), ->4311($16)
14039: d772, <-14862($101), ->14861($59)
14040: d772, <-7788($94), ->7787($14)
14041: d526, <-386($79), ->385($27)
14042: d526, <-1048($4), ->1047($15)
14043: d593, <-22744($26), ->22743($31)
14044: d593, <-5444($86), ->5443($40)
14045: d759, <-16126($90), ->16125($17)
14046: d759, <-7800($99), ->7799($28)
14047: d568, <-11372($72), ->11371($91)
14048: d568, <-22004($70), ->22003($5)
14049: d241, <-19810($42), ->19809($87)
14050: d241, <-12246($80), ->12245($78)
14051: d187, <-6448($83), ->6447($23)
14052: d187, <-9646($39), ->9645($34)
14053: d789, <-25382($53), ->25381($94)
14054: d789, <-17826($54), ->17825($82)
14055: d303, <-5402($58), ->5401($75)
14056: d303, <-19710($55), ->19709($98)
14057: d466, <-23804($49), ->23803($14)
14058: d466, <-17310($76), ->17309($48)
14059: d260, <-15406($74), ->15405($97)
14060: d260, <-10464($24), ->10463($69)
14061: d411, <-1802($5), ->1801($37)
14062: d411, <-1972($61), ->1971($2)
14063: d707, <-3786($33), ->3785($80)
14064: d707, <-9316($30), ->9315($46)
14065: d602, <-6516($77), ->6515($14)
14066: d602, <-9468($99), ->9467($32)
14067: d392, <-4202($82), ->4201($90)
14068: d392, <-4324($14), ->4323($90)
14069: d25, <-22392($37), ->22391($88)
14070: d25, <-18594($57), ->18593($37)
14071: d387, <-17804($68), ->17803($85)
14072: d387, <-7564($59), ->7563($19)
14073: d487, <-22638($71), ->22637($82)
14074: d487, <-24480($100), ->24479($52)
14075: d62, <-592($18), ->591($12)
14076: d62, <-22908($83), ->22907($13)
14077: d183, <-1890($42), ->1889($90)
14078: d183, <-5400($30), ->5399($16)
14079: d346, <-6788($61), ->6787($31)
14080: d346, <-11214($81), ->11213($4)
14081: d450, <-7744($20), ->7743($8)
14082: d450, <-6074($88), ->6073($30)
14083: d358, <-17598($34), ->17597($79)
14084: d358, <-20946($32), ->20945($95)
14085: d753, <-22210($29), ->22209($90)
14086: d753, <-16160($9), ->16159($3)
14087: d795, <-12538($16), ->12537($99)
14088: d795, <-21870($11), ->21869($76)
14089: d714, <-7602($36), ->7601($59)
14090: d714, <-22114($54), ->22113($34)
14091: d741, <-23874($5), ->23873($22)
14092: d741, <-3258($34), ->3257($38)
14093: d156, <-16532($13), ->16531($81)
14094: d156, <-19698($20), ->19697($94)
14095: d18, <-25268($18), ->25267($95)
14096: d18, <-23174($17), ->23173($10)
14097: d589, <-12376($44), ->12375($33)
14098: d589, <-17210($4), ->17209($48)
14099: d721, <-5302($36), ->5301($66)
14100: d721, <-8208($51), ->8207($32)
14101: d431, <-13600($4), ->13599($24)
14102: d431, <-5336($60), ->5335($68)
14103: d675, <-2874($56), ->2873($37)
14104: d675, <-23444($40), ->23443($97)
14105: d557, <-2466($38), ->2465($47)
14106: d557, <-15770($6), ->15769($75)
14107: d496, <-21578($95), ->21577($82)
14108: d496, <-6342($66), ->6341($58)
14109: d151, <-20688($39), ->20687($26)
14110: d151, <-11820($57), ->11819($73)
14111: d611, <-5292($35), ->5291($93)
14112: d611, <-14648($89), ->14647($43)
14113: d792, <-22326($34), ->22325($9)
14114: d792, <-14560($25), ->14559($12)
14115: d470, <-11326($51), ->11325($6)
14116: d470, <-22692($15), ->22691($57)
14117: d93, <-8056($53), ->8055($13)
14118: d93, <-15418($26), ->15417($47)
14119: d781, <-17368($85), ->17367($48)
14120: d781, <-3360($82), ->3359($66)
14121: d253, <-23966($5), ->23965($6)
14122: d253, <-10012($26), ->10011($21)
14123: d237, <-19540($63), ->19539($81)
14124: d237, <-25400($41), ->25399($64)
14125: d82, <-16690($80), ->16689($17)
14126: d82, <-10082($97), ->10081($17)
14127: d715, <-182($49), ->181($18)
14128: d715, <-4464($7), ->4463($13)
14129: d526, <-11448($80), ->11447($38)
14130: d526, <-1598($6), ->1597($42)
14131: d645, <-19914($78), ->19913($83)
14132: d645, <-4370($16), ->4369($38)
14133: d68, <-19356($27), ->19355($14)
14134: d68, <-25232($27), ->25231($84)
14135: d132, <-12258($69), ->12257($61)
14136: d132, <-15336($76), ->15335($94)
14137: d574, <-8974($61), ->8973($63)
14138: d574, <-3478($11), ->3477($86)
14139: d355, <-3400($65), ->3399($17)
14140: d355, <-23324($85), ->23323($25)
14141: d137, <-5886($41), ->5885($7)
14142: d137, <-11988($23), ->11987($87)
14143: d490, <-18468($9), ->18467($88)
14144: d490, <-17002($71), ->17001($72)
14145: d237, <-5242($50), ->5241($10)
14146: d237, <-21850($8), ->21849($84)
14147: d223, <-23150($58), ->23149($21)
14148: d223, <-2336($62), ->2335($28)
14149: d358, <-16762($70), ->16761($50)
14150: d358, <-17878($81), ->17877($88)
14151: d410, <-1824($51), ->1823($74)
14152: d410, <-7320($31), ->7319($57)
14153: d103, <-11772($57), ->11771($96)
14154: d103, <-1032($37), ->1031($26)
14155: d47, <-17704($21), ->17703($15)
14156: d47, <-2312($72), ->2311($53)
14157: d733, <-12622($69), ->12621($93)
14158: d733, <-11524($83), ->11523($66)
14159: d659, <-7950($34), ->7949($78)
14160: d659, <-25184($25), ->25183($68)
14161: d333, <-11938($86), ->11937($1)
14162: d333, <-1306($54), ->1305($1)
14163: d526, <-9394($77), ->9393($6)
14164: d526, <-386($79), ->385($27)
14165: d110, <-346($48), ->345($49)
14166: d110, <-12088($67), ->12087($83)
14167: d67, <-22718($101), ->22717($2)
14168: d67, <-14676($76), ->14675($8)
14169: d136, <-3956($20), ->3955($46)
14170: d136, <-20204($82), ->20203($77)
14171: d247, <-14898($81), ->14897($74)
14172: d247, <-8764($80), ->8763($88)
14173: d129, <-1538($73), ->1537($9)
14174: d129, <-6880($60), ->6879($72)
14175: d167, <-4128($45), ->4127($27)
14176: d167, <-5990($35), ->5989($12)
14177: d482, <-17802($3), ->17801($7)
14178: d482, <-18184($7), ->18183($94)
14179: d578, <-20410($68), ->20409($64)
14180: d578, <-19282($64), ->19281($85)
14181: d730, <-2654($86), ->2653($10)
14182: d730, <-20042($39), ->20041($29)
14183: d367, <-18402($53), ->18401($57)
14184: d367, <-6752($4), ->6751($18)
14185: d688, <-17974($12), ->17973($15)
14186: d688, <-18542($46), ->18541($12)
14187: d708, <-15228($45), ->15227($94)
14188: d708, <-2130($46), ->2129($50)
14189: d635, <-18874($66), ->18873($6)
14190: d635, <-17326($28), ->17325($52)
14191: d83, <-14602($40), ->14601($23)
14192: d83, <-15028($76), ->15027($85)
14193: d624, <-8276($20), ->8275($74)
14194: d624, <-20090($48), ->20089($71)
14195: d231, <-8102($96), ->8101($80)
14196: d231, <-9576($29), ->9575($22)
14197: d325, <-6536($90), ->6535($6)
14198: d325, <-14938($28), ->14937($17)
14199: d491, <-23380($30), ->23379($68)
14200: d491, <-1256($37), ->1255($19)
14201: d207, <-2226($53), ->2225($33)
14202: d207, <-16332($45), ->16331($33)
14203: d289, <-25040($91), ->25039($6)
14204: d289, <-20580($58), ->20579($28)
14205: d553, <-9436($35), ->9435($85)
14206: d553, <-4854($95), ->4853($42)
14207: d549, <-3550($58), ->3549($48)
14208: d549, <-23996($88), ->23995($26)
14209: d763, <-7224($101), ->7223($23)
14210: d763, <-638($34), ->637($51)
14211: d465, <-11810($98), ->11809($26)
14212: d465, <-19804($94), ->19803($9)
14213: d141, <-17394($88), ->17393($29)
14214: d141, <-19770($57), ->19769($26)
14215: d468, <-2576($37), ->2575($47)
14216: d468, <-17020($56), ->17019($67)
14217: d165, <-17928($8), ->17927($41)
14218: d165, <-16510($57), ->16509($5)
14219: d604, <-6096($2), ->6095($33)
14220: d604, <-4216($15), ->4215($25)
14221: d90, <-18614($67), ->18613($99)
14222: d90, <-13870($28), ->13869($43)
14223: d662, <-1006($66), ->1005($77)
14224: d662, <-15906($82), ->15905($36)
14225: d644, <-14356($37), ->14355($16)
14226: d644, <-17906($23), ->17905($93)
14227: d217, <-24620($87), ->24619($68)
14228: d217, <-448($36), ->447($33)
14229: d485, <-17710($47), ->17709($17)
14230: d485, <-11608($26), ->11607($64)
14231: d450, <-7220($60), ->7219($42)
14232: d450, <-7796($87), ->7795($35)
14233: d699, <-15672($37), ->15671($42)
14234: d699, <-3358($10), ->3357($40)
14235: d761, <-24498($51), ->24497($81)
14236: d761, <-25248($21), ->25247($93)
14237: d395, <-10380($78), ->10379($98)
14238: d395, <-17658($32), ->17657($36)
14239: d487, <-17348($11), ->17347($15)
14240: d487, <-12716($65), ->12715($4)
14241: d628, <-21004($62), ->21003($65)
14242: d628, <-24634($55), ->24633($29)
14243: d728, <-24484($23), ->24483($92)
14244: d728, <-17058($34), ->17057($45)
14245: d160, <-1432($96), ->1431($40)
14246: d160, <-274($101), ->273($62)
14247: d132, <-6210($18), ->6209($37)
14248: d132, <-7932($53), ->7931($61)
14249: d22, <-18716($55), ->18715($63)
14250: d22, <-22208($66), ->22207($25)
14251: d312, <-19272($46), ->19271($44)
14252: d312, <-8218($12), ->8217($84)
14253: d540, <-17786($17), ->17785($78)
14254: d540, <-16080($11), ->16079($27)
14255: d653, <-9572($68), ->9571($54)
14256: d653, <-1806($65), ->1805($48)
14257: d473, <-2176($65), ->2175($88)
14258: d473, <-5592($39), ->5591($19)
14259: d11, <-3492($89), ->3491($1)
14260: d11, <-6028($19), ->6027($85)
14261: d52, <-24862($98), ->24861($12)
14262: d52, <-13748($38), ->13747($83)
14263: d117, <-14566($91), ->14565($39)
14264: d117, <-18496($66), ->18495($26)
14265: d165, <-23780($15), ->23779($13)
14266: d165, <-24132($42), ->24131($97)
14267: d495, <-11852($92), ->11851($10)
14268: d495, <-10646($45), ->10645($17)
14269: d602, <-17012($92), ->17011($31)
14270: d602, <-6516($77), ->6515($14)
14271: d260, <-10756($16), ->10755($62)
14272: d260, <-10610($16), ->10609($52)
14273: d232, <-2464($23), ->2463($84)
14274: d232, <-9102($93), ->9101($3)
14275: d387, <-6066($2), ->6065($7)
14276: d387, <-6218($19), ->6217($45)
14277: d563, <-23002($31), ->23001($14)
14278: d563, <-20584($39), ->20583($11)
14279: d384, <-11944($81), ->11943($22)
14280: d384, <-4372($62), ->4371($96)
14281: d109, <-23226($10), ->23225($66)
14282: d109, <-23274($63), ->23273($31)
14283: d107, <-9848($53), ->9847($44)
14284: d107, <-4232($42), ->4231($29)
14285: d323, <-3702($40), ->3701($100)
14286: d323, <-23216($76), ->23215($37)
14287: d433, <-20690($21), ->20689($96)
14288: d433, <-1138($30), ->1137($74)
14289: d243, <-13888($82), ->13887($9)
14290: d243, <-8890($26), ->8889($9)
14291: d192, <-2626($23), ->2625($84)
14292: d192, <-3602($25), ->3601($9)
14293: d405, <-16520($72), ->16519($76)
14294: d405, <-12290($32), ->12289($79)
14295: d719, <-23730($101), ->23729($23)
14296: d719, <-23866($45), ->23865($51)
14297: d355, <-6972($86), ->6971($15)
14298: d355, <-14512($48), ->14511($32)
14299: d286, <-25042($81), ->25041($24)
14300: d286, <-16020($8), ->16019($100)
14301: d72, <-23758($81), ->23757($26)
14302: d72, <-3730($41), ->3729($22)
14303: d549, <-3348($27), ->3347($89)
14304: d549, <-15106($92), ->15105($88)
14305: d400, <-17960($29), ->17959($99)
14306: d400, <-20680($28), ->20679($71)
14307: d720, <-21680($92), ->21679($10)
14308: d720, <-20758($45), ->20757($77)
14309: d499, <-17102($44), ->17101($89)
14310: d499, <-19684($96), ->19683($79)
14311: d325, <-12180($75), ->12179($40)
14312: d325, <-1980($10), ->1979($28)
14313: d680, <-7802($50), ->7801($46)
14314: d680, <-2554($2), ->2553($71)
14315: d517, <-22456($56), ->22455($73)
14316: d517, <-13034($4), ->13033($96)
14317: d128, <-7372($7), ->7371($56)
14318: d128, <-14964($54), ->14963($36)
14319: d656, <-4988($38), ->4987($54)
14320: d656, <-8548($35), ->8547($45)
14321: d105, <-23078($14), ->23077($66)
14322: d105, <-25026($55), ->25025($83)
14323: d162, <-9628($36), ->9627($63)
14324: d162, <-12326($13), ->12325($6)
14325: d247, <-23250($79), ->23249($44)
14326: d247, <-19514($73), ->19513($68)
14327: d607, <-11738($77), ->11737($85)
14328: d607, <-10452($54), ->10451($100)
14329: d242, <-1616($62), ->1615($54)
14330: d242, <-22822($44), ->22821($74)
14331: d538, <-14488($17), ->14487($83)
14332: d538, <-3152($44), ->3151($26)
14333: d577, <-10688($10), ->10687($57)
14334: d577, <-21346($64), ->21345($35)
14335: d774, <-13192($23), ->13191($40)
14336: d774, <-25262($96), ->25261($83)
14337: d27, <-9740($60), ->9739($72)
14338: d27, <-20578($8), ->20577($42)
14339: d602, <-9468($99), ->9467($32)
14340: d602, <-17918($24), ->17917($83)
14341: d426, <-23438($9), ->23437($7)
14342: d426, <-16380($27), ->16379($22)
14343: d272, <-8150($33), ->8149($37)
14344: d272, <-12128($37), ->12127($61)
14345: d70, <-20756($62), ->20755($30)
14346: d70, <-7636($75), ->7635($18)
14347: d48, <-1676($18), ->1675($86)
14348: d48, <-1636($9), ->1635($98)
14349: d642, <-25426($26), ->25425($75)
14350: d642, <-24296($98), ->24295($80)
14351: d705, <-13254($6), ->13253($3)
14352: d705, <-18392($97), ->18391($4)
14353: d542, <-23520($42), ->23519($8)
14354: d542, <-650($37), ->649($13)
14355: d645, <-22610($97), ->22609($64)
14356: d645, <-12058($5), ->12057($85)
14357: d772, <-18308($42), ->18307($33)
14358: d772, <-14862($101), ->14861($59)
14359: d561, <-13430($65), ->13429($59)
14360: d561, <-21186($39), ->21185($3)
14361: d702, <-18212($68), ->18211($17)
14362: d702, <-13606($26), ->13605($55)
14363: d706, <-12452($62), ->12451($86)
14364: d706, <-6918($95), ->6917($19)
14365: d717, <-23480($74), ->23479($13)
14366: d717, <-22840($65), ->22839($70)
14367: d568, <-12544($68), ->12543($97)
14368: d568, <-10230($48), ->10229($55)
14369: d702, <-1374($69), ->1373($31)
14370: d702, <-22708($6), ->22707($43)
14371: d340, <-8406($21), ->8405($67)
14372: d340, <-16352($34), ->16351($88)
14373: d610, <-21246($87), ->21245($71)
14374: d610, <-16456($21), ->16455($52)
14375: d683, <-15860($59), ->15859($11)
14376: d683, <-15728($39), ->15727($56)
14377: d264, <-10266($33), ->10265($95)
14378: d264, <-18304($60), ->18303($52)
14379: d281, <-11294($36), ->11293($90)
14380: d281, <-8818($43), ->8817($66)
14381: d428, <-10946($59), ->10945($43)
14382: d428, <-25216($64), ->25215($38)
14383: d364, <-23618($25), ->23617($53)
14384: d364, <-8656($77), ->8655($83)
14385: d97, <-2658($44), ->2657($58)
14386: d97, <-5814($37), ->5813($69)
14387: d245, <-19120($81), ->19119($25)
14388: d245, <-17396($64), ->17395($6)
14389: d395, <-21762($75), ->21761($25)
14390: d395, <-434($41), ->433($84)
14391: d266, <-7598($20), ->7597($21)
14392: d266, <-15888($3), ->15887($56)
14393: d395, <-8610($75), ->8609($5)
14394: d395, <-9458($34), ->9457($61)
14395: d88, <-248($97), ->247($47)
14396: d88, <-7872($43), ->7871($97)
14397: d208, <-16488($86), ->16487($33)
14398: d208, <-19304($40), ->19303($93)
14399: d30, <-15122($51), ->15121($99)
14400: d30, <-17824($35), ->17823($66)
14401: d664, <-10140($29), ->10139($27)
14402: d664, <-24188($74), ->24187($71)
14403: d88, <-16992($29), ->16991($53)
14404: d88, <-24104($71), ->24103($77)
14405: d512, <-12600($30), ->12599($78)
14406: d512, <-15140($82), ->15139($87)
14407: d272, <-8724($17), ->8723($62)
14408: d272, <-16164($6), ->16163($91)
14409: d164, <-3774($44), ->3773($91)
14410: d164, <-2422($17), ->2421($16)
14411: d555, <-4428($67), ->4427($42)
14412: d555, <-19796($8), ->19795($95)
14413: d74, <-8708($91), ->8707($25)
14414: d74, <-16294($94), ->16293($49)
14415: d125, <-20792($31), ->20791($24)
14416: d125, <-25300($91), ->25299($74)
14417: d207, <-21926($35), ->21925($34)
14418: d207, <-5320($76), ->5319($88)
14419: d788, <-20006($60), ->20005($87)
14420: d788, <-24440($57), ->24439($13)
14421: d81, <-7230($19), ->7229($91)
14422: d81, <-12330($54), ->12329($28)
14423: d186, <-2630($44), ->2629($52)
14424: d186, <-4352($31), ->4351($11)
14425: d265, <-7438($82), ->7437($65)
14426: d265, <-46($2), ->45($31)
14427: d684, <-5262($88), ->5261($49)
14428: d684, <-11332($15), ->11331($29)
14429: d96, <-6616($92), ->6615($66)
14430: d96, <-14386($40), ->14385($39)
14431: d540, <-13136($29), ->13135($21)
14432: d540, <-13850($26), ->13849($46)
14433: d270, <-22232($54), ->22231($73)
14434: d270, <-6236($96), ->6235($91)
14435: d615, <-25140($60), ->25139($31)
14436: d615, <-606($96), ->605($61)
14437: d617, <-23446($86), ->23445($19)
14438: d617, <-21692($94), ->21691($81)
14439: d33, <-12094($91), ->12093($92)
14440: d33, <-7460($25), ->7459($21)
14441: d590, <-10374($93), ->10373($22)
14442: d590, <-4386($39), ->4385($77)
14443: d360, <-3772($90), ->3771($67)
14444: d360, <-13058($91), ->13057($94)
14445: d598, <-18748($51), ->18747($28)
14446: d598, <-2934($31), ->2933($80)
14447: d436, <-21370($95), ->21369($27)
14448: d436, <-3178($86), ->3177($4)
14449: d686, <-12100($63), ->12099($16)
14450: d686, <-13374($9), ->13373($57)
14451: d255, <-15160($86), ->15159($17)
14452: d255, <-25050($72), ->25049($89)
14453: d257, <-16704($28), ->16703($43)
14454: d257, <-7718($58), ->7717($96)
14455: d83, <-15028($76), ->15027($85)
14456: d83, <-14602($40), ->14601($23)
14457: d218, <-10410($50), ->10409($77)
14458: d218, <-2338($37), ->2337($1)
14459: d48, <-19620($13), ->19619($93)
14460: d48, <-13680($51), ->13679($29)
14461: d487, <-24480($100), ->24479($52)
14462: d487, <-9622($10), ->9621($85)
14463: d535, <-6246($23), ->6245($71)
14464: d535, <-13876($50), ->13875($20)
14465: d534, <-524($92), ->523($76)
14466: d534, <-10702($84), ->10701($80)
14467: d251, <-2290($7), ->2289($53)
14468: d251, <-10152($101), ->10151($25)
14469: d790, <-7086($30), ->7085($97)
14470: d790, <-5068($77), ->5067($63)
14471: d485, <-13450($93), ->13449($87)
14472: d485, <-12582($2), ->12581($89)
14473: d578, <-15116($48), ->15115($52)
14474: d578, <-13690($76), ->13689($7)
14475: d21, <-14250($3), ->14249($65)
14476: d21, <-22400($30), ->22399($36)
14477: d703, <-21170($63), ->21169($12)
14478: d703, <-25440($20), ->25439($58)
14479: d549, <-23018($53), ->23017($51)
14480: d549, <-16538($89), ->16537($49)
14481: d648, <-19044($57), ->19043($16)
14482: d648, <-20230($52), ->20229($69)
14483: d12, <-20554($78), ->20553($30)
14484: d12, <-2102($27), ->2101($1)
14485: d758, <-14046($81), ->14045($4)
14486: d758, <-8440($90), ->8439($70)
14487: d539, <-15608($24), ->15607($76)
14488: d539, <-10430($67), ->10429($18)
14489: d475, <-19570($1), ->19569($34)
14490: d475, <-3090($82), ->3089($99)
14491: d799, <-15714($13), ->15713($89)
14492: d799, <-22502($49), ->22501($36)
14493: d113, <-7178($72), ->7177($16)
14494: d113, <-10216($73), ->10215($42)
14495: d205, <-24124($63), ->24123($30)
14496: d205, <-10778($14), ->10777($35)
14497: d589, <-24628($88), ->24627($37)
14498: d589, <-11384($90), ->11383($100)
14499: d525, <-14130($96), ->14129($58)
14500: d525, <-14164($75), ->14163($20)
14501: d494, <-22684($33), ->22683($65)
14502: d494, <-670($42), ->669($6)
14503: d721, <-25162($9), ->25161($97)
14504: d721, <-6130($52), ->6129($44)
14505: d141, <-18834($52), ->18833($53)
14506: d141, <-11078($100), ->11077($82)
14507: d714, <-11876($60), ->11875($81)
14508: d714, <-13242($20), ->13241($15)
14509: d367, <-17670($48), ->17669($31)
14510: d367, <-12928($71), ->12927($8)
14511: d356, <-22372($97), ->22371($82)
14512: d356, <-6762($73), ->6761($41)
14513: d507, <-3642($89), ->3641($11)
14514: d507, <-20636($42), ->20635($78)
14515: d81, <-12858($99), ->12857($75)
14516: d81, <-2714($50), ->2713($67)
14517: d312, <-11478($84), ->11477($80)
14518: d312, <-838($8), ->837($85)
14519: d3, <-17282($24), ->17281($92)
14520: d3, <-18908($84), ->18907($7)
14521: d425, <-3326($36), ->3325($15)
14522: d425, <-3872($93), ->3871($47)
14523: d468, <-12114($11), ->12113($85)
14524: d468, <-19924($12), ->19923($70)
14525: d745, <-16396($40), ->16395($96)
14526: d745, <-11308($35), ->11307($15)
14527: d493, <-10226($86), ->10225($90)
14528: d493, <-7552($1), ->7551($91)
14529: d786, <-12650($7), ->12649($24)
14530: d786, <-21696($94), ->21695($73)
14531: d10, <-23910($92), ->23909($8)
14532: d10, <-14260($72), ->14259($15)
14533: d631, <-1354($54), ->1353($63)
14534: d631, <-7308($85), ->7307($58)
14535: d605, <-11034($42), ->11033($31)
